Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
2008,DIRECTING,Slumdog Millionaire,Danny Boyle,nm0000965,1.0,"Searchlight Pictures, Warner Bros., Film4, PathÃ©, Celador Films, Cloud Eight Films",pathã© distribution,fox searchlight pictures,twentieth century fox,chantier films,"filmax, lucky red, monolith films, monopole-pathã©, icon film distribution australia, mediasoft films, barton films, pinema, prokino filmverleih, svensk filmindustri (sf), svensk filmindustri, svensk filmindustri, 20th century fox india, barton films, bazuca films, bontonfilm, cine colombia, cinã©art, cinã©art, distribution company, fs film, filmladen, forum hungary, gaga, golden screen cinemas, golden village pictures, hoyts, lev cinemas, londra films p&d, myndform, pathã© distribution, serenity entertainment international, twentieth century fox, viva international pictures, volga, 20th century fox home entertainment, 20th century fox home entertainment, 20th century fox home entertainment, 20th century fox home entertainment, ablo, argentina video home, audio visual enterprises, castello lopes multimã©dia, edko films, europa filmes, film1, fox star studios, home box office (hbo), ipa asia pacific, phars film, twin pics, vizion, argentina video home, channel 4 television corporation, argentina video home, ntr, nelonen, ion television, argentina video home, divisa home video, etv (eesti televisioon), disney media distribution (dmd), hbo max, arthaus, arthaus, yleisradio (yle), 7flix, disney+"
2008,DOCUMENTARY (Feature),The Betrayal (Nerakhoon),Ellen Kuras and Thavisouk Phrasavath,"nm0475578,nm0681115",0.0,"P.O.V., The American Documentary, isotopefilms",celluloid dreams,the cinema guild,the criterion channel,,
2008,DOCUMENTARY (Feature),Encounters at the End of the World,Werner Herzog and Henry Kaiser,"nm0001348,nm1793471",0.0,"Discovery Films, Creative Differences Productions, Discovery Channel, Discovery Communications",discovery films,image entertainment,thinkfilm,against gravity,"image entertainment, seville pictures, spectra filmworks, benelux film distributors, revolver entertainment, dutch filmworks (dfw), dutch filmworks (dfw), polyband, canvas, dutch filmworks (dfw), dutch filmworks (dfw), film1"
2008,DOCUMENTARY (Feature),The Garden,Scott Hamilton Kennedy,nm1251618,0.0,Black Valley Films,dogwoof,morningstar entertainment,netflix,oscilloscope,roco films
2008,DOCUMENTARY (Feature),Man on Wire,James Marsh and Simon Chinn,"nm1016428,nm1187711",1.0,"Discovery Films, BBC Storyville, UK Film Council, Wall to Wall, Red Box Films",magnolia pictures,asociace ceskã½ch filmovã½ch klubu (acfk),benelux film distribution,espace sarou,"filmware international, golden village pictures, icon film distribution, tour de force, alliance, arsenal filmverleih, arsenal filmverleih, budapest film, california filmes, canana films, diaphana distribution, diaphana distribution, discovery channel canada, giangiacomo feltrinelli editore, lumiã¨re home entertainment, lumiã¨re home entertainment, lumiã¨re home entertainment, lumiã¨re home entertainment, madman entertainment, madman entertainment, magnolia home entertainment, mongrel media, odeon, orlando films, shin nippon eiga, sky documentaries, the works international, yleisradio (yle)"
2008,DOCUMENTARY (Feature),Trouble the Water,Tia Lessin and Carl Deal,"nm0504357,nm1179906",0.0,Elsewhere Films,zeitgeist films,maximum film distribution,,,
2008,DOCUMENTARY (Short Subject),The Conscience of Nhem En,Steven Okazaki,nm0645574,0.0,HBO Documentary Films,home box office (hbo),farallon films,home box office (hbo),,
2008,DOCUMENTARY (Short Subject),The Final Inch,Irene Taylor Brodsky and Tom Grant,"nm2480339,nm0335679",0.0,"Google.org, Vermilion Films",home box office (hbo),,,,
2008,DOCUMENTARY (Short Subject),Smile Pinki,Megan Mylan,nm0616959,1.0,"HBO Documentary Films, Principe Productions, Smile Train",home box office (hbo),sundancetv,,,
2008,DOCUMENTARY (Short Subject),The Witness - From the Balcony of Room 306,Adam Pertofsky and Margaret Hyde,"nm0675700,nm3270598",0.0,National Civil Rights Museum,0,,,,
