Year,Category,Film,Name,NomineeIds,winner,productora,distribuidor_1,distribuidor_2,distribuidor_3,distribuidor_4,distribuidor_5
1997,ACTOR IN A LEADING ROLE,Good Will Hunting,Matt Damon,nm0000354,0.0,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart",miramax,alliance atlantis communications,bac films,buena vista international,"cecchi gori distribuzione, filmes castello lopes, intersonic, laurenfilm, lider films, lumiã¨re, rcv film distribution, rcv film distribution, rcv film distribution, sf norge a/s, scanbox entertainment, scanbox entertainment, scotia international filmverleih, shochiku-fuji company, spentzos films, svensk filmindustri (sf), united international pictures (uip), finnkino, paris vã­deo, paris vã­deo, rcv home entertainment, sf video, scanbox entertainment, scanbox entertainment, scanbox norge, shochiku home video, transeuropa video entertainment (tve), pay per view, sky jemah films, american broadcasting company (abc), bmg video, buena vista home entertainment, entertainment one benelux, entertainment one benelux, gativideo, hbo max, itvx, imagem filmes, imagem filmes, lionsgate home entertainment, nederlandse christelijke radio-vereniging (ncrv), nelonen, network 10, nickelodeon network, panorama distributions, panorama distributions, paramount home entertainment, paramount home entertainment, rcv home entertainment, scanbox entertainment, scanbox entertainment, shochiku home video, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), videomax, warner home video, warner home video"
1997,ACTOR IN A LEADING ROLE,The Apostle,Robert Duvall,nm0000380,0.0,Butcher's Run Films,october films,scandinavian entertainment group,triangelfilm,united international pictures (uip),"united international pictures (uip), united international pictures, argentina video home, pay per view, laurenfilm, sandrews video, kinowelt home entertainment, fabulous films, alliance video, new films international"
1997,ACTOR IN A LEADING ROLE,Ulee's Gold,Peter Fonda,nm0001228,0.0,"Clinica Estetico, Motion Picture Corporation of America, Nunez-Gowan",orion pictures,orion home video,cinemania films group,feature film company,"haut et court, new vision films, 21st century pictures, argentina video home, hbo max, kino lorber, mgm home entertainment, movienet, pidax film, splendid film, twentieth century fox, vitã³ria filmes"
1997,ACTOR IN A LEADING ROLE,Wag the Dog,Dustin Hoffman,nm0000163,0.0,"Baltimore Pictures, New Line Cinema, Punch Productions, Tribeca Productions",new line cinema,rainboworld entertainment,concorde filmverleih,entertainment film distributors,"focus film ag, lã­der films, metropolitan filmexport, norsk filmdistribusjon, roadshow entertainment, sandrew film & teater ab, vitã³ria filmes, warner bros pictures, cecchi gori distribuzione, argentina video home, new line home video, new line home video, pay per view, west video, fox network, front row filmed entertainment, argentina video home, playarte home vã­deo, warner home video, hbo max, edko films, roadshow entertainment video, vcl communications, warner home vã­deo, warner home vã­deo"
1997,ACTOR IN A LEADING ROLE,As Good as It Gets,Jack Nicholson,nm0000197,1.0,"TriStar Pictures, Gracie Films",cascade film,columbia tristar egmont film distributors,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films italia, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de argentina, columbia tristar films de espaã±a, columbia tristar films of india, 7mate, 7flix, columbia tristar domestic television, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar television, etv (eesti televisioon), egmont film, goldmax, lk-tel, lk-tel, national broadcasting company (nbc), netflix, paramount channel, pay per view, seven network, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, tbs superstation, twilight time"
1997,ACTOR IN A SUPPORTING ROLE,Jackie Brown,Robert Forster,nm0001233,0.0,"Miramax, A Band Apart, Lawrence Bender Productions, Mighty Mighty Afrodite Productions",miramax,bac films,columbia tristar egmont film distributors,columbia tristar films ab,"ect, egmont film, filmes castello lopes, frenetic films, kidmark, a division of trimark entertainment, laurenfilm, lider films, rcv film distribution, rcv film distribution, rcv film distribution, scotia international filmverleih, svenska filminstitutet (sfi), new star home entertainment, buena vista home entertainment, buena vista home entertainment, gativideo, starz, bmg video, impuls home entertainment, nordisk film, tf1 vidã©o, miramax, rcv home entertainment, universum film (ufa), nordisk film, nordisk film, kanaaltwee, rcv home entertainment, rcv home entertainment, lumiã¨re, west video, alliance video, buena vista home entertainment, egmont film, imagem filmes, imagem filmes, imagem filmes, miramax, nitv, paramount channel, paramount home entertainment, paramount home entertainment, paramount home entertainment, paris vã­deo, pay per view, telia"
1997,ACTOR IN A SUPPORTING ROLE,Amistad,Anthony Hopkins,nm0000164,0.0,"Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation",dreamworks distribution,quality films,united international pictures (uip),united international pictures (uip),"united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, finnkino, argentina video home, universal pictures finland, universal pictures, mainostelevisio (mtv3), american broadcasting company (abc), paramount home entertainment, paramount films of india, united international pictures (uip), united international pictures (uip), ava, cic vã­deo, cic-taft home video, dreamworks home entertainment, filmes lusomundo, itvx, image entertainment, paramount home entertainment, pay per view, quality films, trifecta entertainment and media, universal home video"
1997,ACTOR IN A SUPPORTING ROLE,As Good as It Gets,Greg Kinnear,nm0001427,0.0,"TriStar Pictures, Gracie Films",cascade film,columbia tristar egmont film distributors,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films italia, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de argentina, columbia tristar films de espaã±a, columbia tristar films of india, 7mate, 7flix, columbia tristar domestic television, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar television, etv (eesti televisioon), egmont film, goldmax, lk-tel, lk-tel, national broadcasting company (nbc), netflix, paramount channel, pay per view, seven network, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, tbs superstation, twilight time"
1997,ACTOR IN A SUPPORTING ROLE,Boogie Nights,Burt Reynolds,nm0000608,0.0,"New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company",new line cinema,alliance,arthaus filmverleih,entertainment film distributors,"filmes lusomundo, focus film ag, gaga, lã­der films, metropolitan filmexport, norsk filmdistribusjon, roadshow entertainment, sandrew film, warner bros, warner bros, alliance video, argentina video home, edko films, image entertainment, new line home video, pay per view, playarte home vã­deo, rainboworld entertainment, the criterion collection, entertainment in video, kinowelt home entertainment, new line home video, new line home entertainment, panorama entertainment, warner home video, warner home video, warner home video, warner home video, hbo max, alliance atlantis home video, new line home video, new line home video, prooptiki video, roadshow entertainment video, warner home vã­deo"
1997,ACTOR IN A SUPPORTING ROLE,Good Will Hunting,Robin Williams,nm0000245,1.0,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart",miramax,alliance atlantis communications,bac films,buena vista international,"cecchi gori distribuzione, filmes castello lopes, intersonic, laurenfilm, lider films, lumiã¨re, rcv film distribution, rcv film distribution, rcv film distribution, sf norge a/s, scanbox entertainment, scanbox entertainment, scotia international filmverleih, shochiku-fuji company, spentzos films, svensk filmindustri (sf), united international pictures (uip), finnkino, paris vã­deo, paris vã­deo, rcv home entertainment, sf video, scanbox entertainment, scanbox entertainment, scanbox norge, shochiku home video, transeuropa video entertainment (tve), pay per view, sky jemah films, american broadcasting company (abc), bmg video, buena vista home entertainment, entertainment one benelux, entertainment one benelux, gativideo, hbo max, itvx, imagem filmes, imagem filmes, lionsgate home entertainment, nederlandse christelijke radio-vereniging (ncrv), nelonen, network 10, nickelodeon network, panorama distributions, panorama distributions, paramount home entertainment, paramount home entertainment, rcv home entertainment, scanbox entertainment, scanbox entertainment, shochiku home video, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), videomax, warner home video, warner home video"
1997,ACTRESS IN A LEADING ROLE,The Wings of the Dove,Helena Bonham Carter,nm0000307,0.0,"Miramax, Renaissance Dove",miramax,buena vista home entertainment,miramax,frenetic films,"laurenfilm, mars distribution, scotia international filmverleih, becker entertainment, buena vista international, buena vista international, eurocine, filmes castello lopes, alliance video, argentina video home, bmg video, cannes home vã­deo, new ksm, rcv film distribution, rcv film distribution, rcv film distribution, scanbox entertainment, studiocanal"
1997,ACTRESS IN A LEADING ROLE,Afterglow,Julie Christie,nm0001046,0.0,"Elysian Dreams, Moonstone Entertainment, Sandcastle 5 Productions",sony pictures,cine 3,concorde-castle rock/turner,interactive cinema,"jld image international, quest (ii), rcv film distribution, united international pictures (uip), united international pictures (uip), afterglow inc, artaire films, buena vista home entertainment, columbia tristar home entertainment, concorde home entertainment, lk-tel, new films international, pony canyon, pony canyon, quiver distribution, rcv film distribution, rcv film distribution, spentzos film home video, telegroup, top tape, utv entertainment television, warner home video, wild duck productions"
1997,ACTRESS IN A LEADING ROLE,Mrs. Brown,Judi Dench,nm0001132,0.0,"BBC Scotland, Bord ScannÃ¡n na hÃ‰ireann / The Irish Film Board, Ecosse Films, WGBH",buena vista international,miramax,sf studio,buena vista international,"filmes castello lopes, folkets bio, kinowelt filmverleih, laurenfilm, les acacias, folkets bio, fã¶reningen filmcentrum, gativideo, sf video, shochiku-fuji company, buena vista home entertainment, miramax, imagem filmes, kinowelt home entertainment, echo bridge home entertainment, abc films, imagem filmes, new films international, rcv home entertainment"
1997,ACTRESS IN A LEADING ROLE,As Good as It Gets,Helen Hunt,nm0000166,1.0,"TriStar Pictures, Gracie Films",cascade film,columbia tristar egmont film distributors,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films italia, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de argentina, columbia tristar films de espaã±a, columbia tristar films of india, 7mate, 7flix, columbia tristar domestic television, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar television, etv (eesti televisioon), egmont film, goldmax, lk-tel, lk-tel, national broadcasting company (nbc), netflix, paramount channel, pay per view, seven network, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures television, tbs superstation, twilight time"
1997,ACTRESS IN A LEADING ROLE,Titanic,Kate Winslet,nm0000701,0.0,"Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment",gma films,twentieth century fox,gma films,gma network,"gma network, gma network, paramount pictures, twentieth century fox, twentieth century fox, 20th century fox argentina, 20th century fox australia, 20th century fox india, 20th century fox, 20th century fox, 20th century fox, 20th century fox, bandur film, columbia tristar egmont film distributors, filmes castello lopes, gemini film, hispano foxfilms sae, kommunenes filmcentral (kf), modhumita movies, syrena entertainment group, twentieth century fox, twentieth century fox, ugc-fox distribution (ufd), egmont entertainment a/s, finnkino, gativideo, gativideo, 20th century fox home entertainment, 20th century fox home entertainment, home box office (hbo), paramount home entertainment, pioneer entertainment, twentieth century fox home entertainment, egmont entertainment, paramount home entertainment, paramount home entertainment, national broadcasting company (nbc), fs film, gativideo, mainostelevisio (mtv3), paramount home entertainment, sf norge a/s, gativideo, 20th century fox home entertainment, viva video, nelonen, fs film, gemini film, paramount home entertainment, sf norge a/s, fs film, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, flagman-trade, turner classic movies (tcm), 20th century fox argentina, 20th century fox cis, 20th century fox netherlands, 20th century fox norway, big picture 2 films, fs film, forum cinemas, odeon, paramount pictures, twentieth century fox, twentieth century fox, twentieth century fox, ukrainian film distribution (ufd), warner bros, westec media limited, 20th century fox cis, 20th century fox cis, 20th century fox cis, sf norge a/s, shanghai epic music entertainment, sub, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, 20th century fox home entertainment, ava, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, noviy disk, hotstar, music television (mtv), vh1 television, channel 4, e4, gma, cbs, hbo max, disney+, netflix, disney+, paramount network, forum hungary, kinomania, nos audiovisuais, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures mexico, walt disney studios motion pictures mexico, cinecolor films perãº, elliniki kinimatografiki enosi (elke), feelgood entertainment, movie magic, viva international pictures, walt disney studios motion pictures, italia, 20th century fox home entertainment, 7mate, abril vã­deo, cctv-6, channel 4, disney+ hotstar, disney+, home video hellas (hvh), hubei audio & video art press, pfc vidã©o, pluto tv, tv3 norge, tvb pearl, videovan entertainment, zonet dingdi"
1997,ACTRESS IN A SUPPORTING ROLE,L.A. Confidential,Kim Basinger,nm0000107,1.0,"Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.",warner bros,warner bros,warner bros,warner bros finland,"warner bros pictures germany, warner bros pictures, warner bros, warner bros, warner bros, warner bros, warner bros pictures, warner bros, gemini film, herald film company, warner bros pictures, argentina video home, pay per view, sandrews, vc4, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home vidã©o, warner home vidã©o, canal+, warner home vidã©o, warner home vã­deo, warner home vã­deo, cbs, france 2 (fr2), mainostelevisio (mtv3), warner home video, nelonen, france 2 (fr2), warner home video, warner home video, warner home video, warner home vidã©o, warner home vidã©o, argentina video home, warner home video, warner home vidã©o, warner home vã­deo, 13ã¨me rue, direct 8, yleisradio (yle), arte, d8, hd1, 20th century fox home entertainment, 20th century fox home entertainment, guadeloupe 1ã¨re, guyane 1ã¨re, hd1, martinique 1ã¨re, mayotte 1ã¨re, nouvelle-calã©donie 1ã¨re, polynã©sie 1ã¨re, saint-pierre et miquelon 1ã¨re, wallis et futuna 1ã¨re, bbc one, france 3, paramount channel, 20th century fox home entertainment, 20th century fox home entertainment, arte, bbc two, fox pathã© europa, fox pathã© europa, cinã©+, chã©rie 25, paramount channel, disney+, disney+, disney+, the criterion channel, abc entertains, magic box, warner bros entertainment"
1997,ACTRESS IN A SUPPORTING ROLE,In & Out,Joan Cusack,nm0000349,0.0,"Paramount Pictures, Spelling Films",paramount,lã­der films,columbia tristar films de argentina,united international pictures (uip),"svensk filmindustri (sf), united international pictures (uip), tobis film, sf norge a/s, paramount home entertainment, warner roadshow film distributors, lk-tel, focus film ag, filmes lusomundo, buena vista international, columbia tristar home video, universum film (ufa), national broadcasting company (nbc), paramount home entertainment, trifecta entertainment and media, blessed filmes, columbia pictures home video, columbia tristar home video, hbo max, home box office (hbo)"
1997,ACTRESS IN A SUPPORTING ROLE,Good Will Hunting,Minnie Driver,nm0000378,0.0,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart",miramax,alliance atlantis communications,bac films,buena vista international,"cecchi gori distribuzione, filmes castello lopes, intersonic, laurenfilm, lider films, lumiã¨re, rcv film distribution, rcv film distribution, rcv film distribution, sf norge a/s, scanbox entertainment, scanbox entertainment, scotia international filmverleih, shochiku-fuji company, spentzos films, svensk filmindustri (sf), united international pictures (uip), finnkino, paris vã­deo, paris vã­deo, rcv home entertainment, sf video, scanbox entertainment, scanbox entertainment, scanbox norge, shochiku home video, transeuropa video entertainment (tve), pay per view, sky jemah films, american broadcasting company (abc), bmg video, buena vista home entertainment, entertainment one benelux, entertainment one benelux, gativideo, hbo max, itvx, imagem filmes, imagem filmes, lionsgate home entertainment, nederlandse christelijke radio-vereniging (ncrv), nelonen, network 10, nickelodeon network, panorama distributions, panorama distributions, paramount home entertainment, paramount home entertainment, rcv home entertainment, scanbox entertainment, scanbox entertainment, shochiku home video, transeuropa video entertainment (tve), transeuropa video entertainment (tve), universum film (ufa), videomax, warner home video, warner home video"
1997,ACTRESS IN A SUPPORTING ROLE,Boogie Nights,Julianne Moore,nm0000194,0.0,"New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company",new line cinema,alliance,arthaus filmverleih,entertainment film distributors,"filmes lusomundo, focus film ag, gaga, lã­der films, metropolitan filmexport, norsk filmdistribusjon, roadshow entertainment, sandrew film, warner bros, warner bros, alliance video, argentina video home, edko films, image entertainment, new line home video, pay per view, playarte home vã­deo, rainboworld entertainment, the criterion collection, entertainment in video, kinowelt home entertainment, new line home video, new line home entertainment, panorama entertainment, warner home video, warner home video, warner home video, warner home video, hbo max, alliance atlantis home video, new line home video, new line home video, prooptiki video, roadshow entertainment video, warner home vã­deo"
1997,ACTRESS IN A SUPPORTING ROLE,Titanic,Gloria Stuart,nm0001784,0.0,"Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment",gma films,twentieth century fox,gma films,gma network,"gma network, gma network, paramount pictures, twentieth century fox, twentieth century fox, 20th century fox argentina, 20th century fox australia, 20th century fox india, 20th century fox, 20th century fox, 20th century fox, 20th century fox, bandur film, columbia tristar egmont film distributors, filmes castello lopes, gemini film, hispano foxfilms sae, kommunenes filmcentral (kf), modhumita movies, syrena entertainment group, twentieth century fox, twentieth century fox, ugc-fox distribution (ufd), egmont entertainment a/s, finnkino, gativideo, gativideo, 20th century fox home entertainment, 20th century fox home entertainment, home box office (hbo), paramount home entertainment, pioneer entertainment, twentieth century fox home entertainment, egmont entertainment, paramount home entertainment, paramount home entertainment, national broadcasting company (nbc), fs film, gativideo, mainostelevisio (mtv3), paramount home entertainment, sf norge a/s, gativideo, 20th century fox home entertainment, viva video, nelonen, fs film, gemini film, paramount home entertainment, sf norge a/s, fs film, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, flagman-trade, turner classic movies (tcm), 20th century fox argentina, 20th century fox cis, 20th century fox netherlands, 20th century fox norway, big picture 2 films, fs film, forum cinemas, odeon, paramount pictures, twentieth century fox, twentieth century fox, twentieth century fox, ukrainian film distribution (ufd), warner bros, westec media limited, 20th century fox cis, 20th century fox cis, 20th century fox cis, sf norge a/s, shanghai epic music entertainment, sub, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, 20th century fox home entertainment, ava, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, noviy disk, hotstar, music television (mtv), vh1 television, channel 4, e4, gma, cbs, hbo max, disney+, netflix, disney+, paramount network, forum hungary, kinomania, nos audiovisuais, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures mexico, walt disney studios motion pictures mexico, cinecolor films perãº, elliniki kinimatografiki enosi (elke), feelgood entertainment, movie magic, viva international pictures, walt disney studios motion pictures, italia, 20th century fox home entertainment, 7mate, abril vã­deo, cctv-6, channel 4, disney+ hotstar, disney+, home video hellas (hvh), hubei audio & video art press, pfc vidã©o, pluto tv, tv3 norge, tvb pearl, videovan entertainment, zonet dingdi"
1997,ART DIRECTION,Gattaca,Art Direction: Jan Roelfs; Set Decoration: Nancy Nye,"nm0736360,nm0638577",0.0,"Columbia Pictures, Jersey Films",columbia pictures,columbia tristar films pty ltd,columbia tristar film,columbia tristar film,"columbia tristar films ab, columbia tristar films, columbia tristar films, columbia tristar home video, izaro films, columbia tristar films de argentina, columbia tristar films of india, sony pictures releasing, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, egmont entertainment, lk-tel, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, egmont entertainment, videosonic, lk-tel, columbia tristar home entertainment, era home entertainment, usa network, nelonen, columbia tristar home video, lk-tel, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, columbia tristar home entertainment, the criterion channel"
1997,ART DIRECTION,Kundun,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"nm0274721,nm0521302",0.0,"Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.",buena vista pictures distribution,buena vista international,amlf,focus film ag,"atlantis entertainment, europafilm, filmes lusomundo, kinowelt filmverleih, laurenfilm, new vision films, rcv film distribution, scanbox entertainment, triangelfilm, paris vã­deo, touchstone home video, touchstone home video, tohokushinsha film corporation (tfc), gativideo, ipa asia pacific, panorama distributions, canvas, divisa home video, iris, star entertainment, 102 distribution, most-cinematograf, kino lorber studio classics, rcv film distribution, rcv film distribution, scanbox, ugc worldwide distribution"
1997,ART DIRECTION,L.A. Confidential,Art Direction: Jeannine Oppewall; Set Decoration: Jay R. Hart,"nm0649223,nm0366345",0.0,"Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.",warner bros,warner bros,warner bros,warner bros finland,"warner bros pictures germany, warner bros pictures, warner bros, warner bros, warner bros, warner bros, warner bros pictures, warner bros, gemini film, herald film company, warner bros pictures, argentina video home, pay per view, sandrews, vc4, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home video, warner home vidã©o, warner home vidã©o, canal+, warner home vidã©o, warner home vã­deo, warner home vã­deo, cbs, france 2 (fr2), mainostelevisio (mtv3), warner home video, nelonen, france 2 (fr2), warner home video, warner home video, warner home video, warner home vidã©o, warner home vidã©o, argentina video home, warner home video, warner home vidã©o, warner home vã­deo, 13ã¨me rue, direct 8, yleisradio (yle), arte, d8, hd1, 20th century fox home entertainment, 20th century fox home entertainment, guadeloupe 1ã¨re, guyane 1ã¨re, hd1, martinique 1ã¨re, mayotte 1ã¨re, nouvelle-calã©donie 1ã¨re, polynã©sie 1ã¨re, saint-pierre et miquelon 1ã¨re, wallis et futuna 1ã¨re, bbc one, france 3, paramount channel, 20th century fox home entertainment, 20th century fox home entertainment, arte, bbc two, fox pathã© europa, fox pathã© europa, cinã©+, chã©rie 25, paramount channel, disney+, disney+, disney+, the criterion channel, abc entertains, magic box, warner bros entertainment"
1997,ART DIRECTION,Men in Black,Art Direction: Bo Welch; Set Decoration: Cheryl Carasik,"nm0919514,nm0135974",0.0,"Columbia Pictures, Amblin Entertainment, Parkes/MacDonald Image Nation",sony pictures releasing,columbia tristar films,columbia tristar films,columbia tristar film,"columbia tristar film, columbia tristar films ab, columbia tristar films, columbia tristar films, columbia tristar films, columbia tristar films de espaã±a, columbia tristar warner filmes de portugal, finnkino, prooptiki, sf studio, ctsi/kinekor, columbia tristar film distributors, columbia tristar film, columbia tristar film, columbia tristar films pty ltd, columbia tristar films, columbia tristar films de argentina, columbia tristar films of india, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, gaumont/columbia tristar home video, lk-tel, columbia tristar home video, gaumont/columbia tristar home video, home box office (hbo), nordisk film, dbc medier, national broadcasting company (nbc), nordisk film home entertainment, nordisk film, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, columbia tristar home video, egmont entertainment, gaumont/columbia tristar home video, lk-tel, nordisk film, columbia tristar home entertainment, nelonen, v8, warner home video, columbia tristar home entertainment, columbia tristar home entertainment, columbia tristar home entertainment, prooptiki video, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, tv5, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, sony pictures home entertainment, universal sony pictures home entertainment nordic, universal sony pictures home entertainment nordic, universal sony pictures home entertainment nordic, universal sony pictures home entertainment, kanal 12, kanal 2, cartoon network, sony pictures home entertainment, 7mate, disney+, seven network, syfy"
1997,ART DIRECTION,Titanic,Art Direction: Peter Lamont; Set Decoration: Michael Ford,"nm0483682,nm0285785",1.0,"Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment",gma films,twentieth century fox,gma films,gma network,"gma network, gma network, paramount pictures, twentieth century fox, twentieth century fox, 20th century fox argentina, 20th century fox australia, 20th century fox india, 20th century fox, 20th century fox, 20th century fox, 20th century fox, bandur film, columbia tristar egmont film distributors, filmes castello lopes, gemini film, hispano foxfilms sae, kommunenes filmcentral (kf), modhumita movies, syrena entertainment group, twentieth century fox, twentieth century fox, ugc-fox distribution (ufd), egmont entertainment a/s, finnkino, gativideo, gativideo, 20th century fox home entertainment, 20th century fox home entertainment, home box office (hbo), paramount home entertainment, pioneer entertainment, twentieth century fox home entertainment, egmont entertainment, paramount home entertainment, paramount home entertainment, national broadcasting company (nbc), fs film, gativideo, mainostelevisio (mtv3), paramount home entertainment, sf norge a/s, gativideo, 20th century fox home entertainment, viva video, nelonen, fs film, gemini film, paramount home entertainment, sf norge a/s, fs film, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, 20th century fox cis, flagman-trade, turner classic movies (tcm), 20th century fox argentina, 20th century fox cis, 20th century fox netherlands, 20th century fox norway, big picture 2 films, fs film, forum cinemas, odeon, paramount pictures, twentieth century fox, twentieth century fox, twentieth century fox, ukrainian film distribution (ufd), warner bros, westec media limited, 20th century fox cis, 20th century fox cis, 20th century fox cis, sf norge a/s, shanghai epic music entertainment, sub, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, twentieth century fox home entertainment, 20th century fox home entertainment, ava, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, fox-paramount home entertainment, noviy disk, hotstar, music television (mtv), vh1 television, channel 4, e4, gma, cbs, hbo max, disney+, netflix, disney+, paramount network, forum hungary, kinomania, nos audiovisuais, walt disney studios motion pictures international, walt disney studios motion pictures international, walt disney studios motion pictures mexico, walt disney studios motion pictures mexico, cinecolor films perãº, elliniki kinimatografiki enosi (elke), feelgood entertainment, movie magic, viva international pictures, walt disney studios motion pictures, italia, 20th century fox home entertainment, 7mate, abril vã­deo, cctv-6, channel 4, disney+ hotstar, disney+, home video hellas (hvh), hubei audio & video art press, pfc vidã©o, pluto tv, tv3 norge, tvb pearl, videovan entertainment, zonet dingdi"
1997,CINEMATOGRAPHY,Amistad,Janusz Kaminski,nm0001405,0.0,"Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation",dreamworks distribution,quality films,united international pictures (uip),united international pictures (uip),"united international pictures (uip), united international pictures (uip), united international pictures, argentina video home, finnkino, argentina video home, universal pictures finland, universal pictures, mainostelevisio (mtv3), american broadcasting company (abc), paramount home entertainment, paramount films of india, united international pictures (uip), united international pictures (uip), ava, cic vã­deo, cic-taft home video, dreamworks home entertainment, filmes lusomundo, itvx, image entertainment, paramount home entertainment, pay per view, quality films, trifecta entertainment and media, universal home video"
1997,CINEMATOGRAPHY,Kundun,Roger Deakins,nm0005683,0.0,"Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.",buena vista pictures distribution,buena vista international,amlf,focus film ag,"atlantis entertainment, europafilm, filmes lusomundo, kinowelt filmverleih, laurenfilm, new vision films, rcv film distribution, scanbox entertainment, triangelfilm, paris vã­deo, touchstone home video, touchstone home video, tohokushinsha film corporation (tfc), gativideo, ipa asia pacific, panorama distributions, canvas, divisa home video, iris, star entertainment, 102 distribution, most-cinematograf, kino lorber studio classics, rcv film distribution, rcv film distribution, scanbox, ugc worldwide distribution"
