Year;Category;Film;FilmId;Name;Productora;winner;dist_1;dist_2;dist_3;dist_4;dist_5;es_streaming
1997;CINEMATOGRAPHY;Amistad;tt0118607;Janusz Kaminski;Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation;0.0;united international pictures;universal pictures;0;0;0;0
1997;CINEMATOGRAPHY;Kundun;tt0119485;Roger Deakins;Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.;0.0;0;0;0;0;0;0
1997;CINEMATOGRAPHY;L.A. Confidential;tt0119488;Dante Spinotti;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;CINEMATOGRAPHY;Titanic;tt0120338;Russell Carpenter;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;CINEMATOGRAPHY;The Wings of the Dove;tt0120520;Eduardo Serra;Miramax, Renaissance Dove;0.0;miramax;0;0;0;0;0
1997;COSTUME DESIGN;Amistad;tt0118607;Ruth E. Carter;Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation;0.0;united international pictures;universal pictures;0;0;0;0
1997;COSTUME DESIGN;Kundun;tt0119485;Dante Ferretti;Touchstone Pictures, De Fina-Cappa, Dune Films, Refuge Productions Inc.;0.0;0;0;0;0;0;0
1997;COSTUME DESIGN;Oscar Lucinda;tt0119843;Janet Patterson;Australian Film Finance Corporation, Dalton Films, Fox Searchlight Pictures, Meridian Films, New South Wales Film & Television Office;0.0;twentieth century fox;fox;searchlight pictures;columbia tristar films;0;0
1997;COSTUME DESIGN;Titanic;tt0120338;Deborah L. Scott;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;COSTUME DESIGN;The Wings of the Dove;tt0120520;Sandy Powell;Miramax, Renaissance Dove;0.0;miramax;0;0;0;0;0
1997;DIRECTING;The Full Monty;tt0119164;Peter Cattaneo;Redwave Films, Channel Four Films, Twentieth Century Fox;0.0;fox;searchlight pictures;twentieth century fox;columbia tristar films;0;0
1997;DIRECTING;Good Will Hunting;tt0119217;Gus Van Sant;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;DIRECTING;L.A. Confidential;tt0119488;Curtis Hanson;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;DIRECTING;The Sweet Hereafter;tt0120255;Atom Egoyan;Alliance Communications Corporation, Ego Film Arts, TÃ©lÃ©film Canada, The Harold Greenberg Fund, The Movie Network (TMN), Canadian Film or Video Production Tax Credit (CPTC);0.0;0;0;0;0;0;0
1997;DIRECTING;Titanic;tt0120338;James Cameron;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;DOCUMENTARY (Feature);Ayn Rand: A Sense of Life;tt0118662;Michael Paxton;AG Media Corporation Ltd., Copasetic Inc.;0.0;fox;0;0;0;0;0
1997;DOCUMENTARY (Feature);Colors Straight Up;tt0126249;Michèle Ohayon, Julia Schachter;Echo Pictures;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Feature);4 Little Girls;tt0118540;Spike Lee, Sam Pollard;40 Acres & A Mule Filmworks, Home Box Office;0.0;hbo max;0;0;0;0;0
1997;DOCUMENTARY (Feature);The Long Way Home;tt0119561;Rabbi Marvin Hier, Richard Trank;Moriah Films, Simon Wiesenthal Center;1.0;0;0;0;0;0;0
1997;DOCUMENTARY (Feature);Waco: The Rules of Engagement;tt0120472;Dan Gifford, William Gazecki;Fifth Estate Productions, SomFord Entertainment;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Short Subject);Alaska: Spirit of the Wild;tt0130445;George Casey, Paul Novros;Alaska Film Partners Ltd., Graphic Films, Houston Museum of Natural Science;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Short Subject);Amazon;tt0140803;Kieth Merrill, Jonathan Stern;Ogden Entertainment;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Short Subject);Daughter of the Bride;tt0129918;Terri Randall;Home Box Office, Terri Randall Film & Video Productions;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Short Subject);Still Kicking: The Fabulous Palm Springs Follies;tt0141856;Mel Damski, Andrea Blaugrund;Little Apple Film Productions;0.0;0;0;0;0;0;0
1997;DOCUMENTARY (Short Subject);A Story of Healing;tt0141858;Donna Dewey, Carol Pasternak;Dewey-Obenchain Films;1.0;0;0;0;0;0;0
1997;FILM EDITING;Air Force One;tt0118571;Richard Francis-Bruce;Columbia Pictures, Beacon Communications, Beacon Pictures, Radiant Productions, Touchstone Pictures;0.0;columbia pictures;sony pictures;columbia tristar home video;warner home video;columbia tristar home entertainment;0
1997;FILM EDITING;As Good as It Gets;tt0119822;Richard Marks;TriStar Pictures, Gracie Films;0.0;columbia tristar film;columbia tristar films;columbia tristar home entertainment;columbia tristar home video;columbia tristar television;0
1997;FILM EDITING;Good Will Hunting;tt0119217;Pietro Scalia;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
1997;FILM EDITING;L.A. Confidential;tt0119488;Peter Honess;Regency Enterprises, New Regency Productions, The Wolper Organization, Warner Bros.;0.0;warner bros;warner bros pictures;warner home video;fox;0;0
1997;FILM EDITING;Titanic;tt0120338;Conrad Buff, James Cameron, Richard A. Harris;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;1.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;FOREIGN LANGUAGE FILM;Beyond Silence;tt0116692;Germany;ARTE, Bayerischer Rundfunk, Claussen & WÃ¶bke Filmproduktion GmbH, Roxy Film, Schweizer Fernsehen, SÃ¼ddeutscher Rundfunk;0.0;miramax;0;0;0;0;0
1997;FOREIGN LANGUAGE FILM;Character;tt0119448;The Netherlands;First Floor Features, Almerica Film;1.0;sony pictures classics;columbia tristar home video;columbia tristar home entertainment;0;0;0
1997;FOREIGN LANGUAGE FILM;Four Days in September;tt0119815;Brazil;Columbia Pictures Television Trading Company, Filmes do Equador, Luiz Carlos Barreto ProduÃ§Ãµes CinematogrÃ¡ficas, Pandora Cinema, Quanta Centro de ProduÃ§Ãµes CinematogrÃ¡ficas, Sony Corporation of America;0.0;columbia tristar home video;miramax;0;0;0;0
1997;FOREIGN LANGUAGE FILM;Secrets of the Heart;tt0120090;Spain;Aiete Films, Ariane Films, Canal+, D.M.V.B. Films, Eurimages, Euskal Media, FÃ¡brica de Imagens, Instituto de la CinematografÃ­a y de las Artes Audiovisuales, Sogepaq;0.0;0;0;0;0;0;0
1997;FOREIGN LANGUAGE FILM;The Thief;tt0124207;Russia;NTV-Profit, Productions Le Pont, Roissy Films, Canal+, Centre national du cinÃ©ma et de l'image animÃ©e (CNC), Russian State Committee for Cinematography;0.0;0;0;0;0;0;0
1997;MAKEUP;Men in Black;tt0119654;Rick Baker, David LeRoy Anderson;Columbia Pictures, Amblin Entertainment, Parkes/MacDonald Image Nation;1.0;sony pictures;columbia tristar films;columbia tristar film;columbia tristar home video;columbia tristar home entertainment;0
1997;MAKEUP;Mrs. Brown;tt0119280;Lisa Westcott, Veronica Brebner, Beverley Binda;BBC Scotland, Bord ScannÃ¡n na hÃ‰ireann / The Irish Film Board, Ecosse Films, WGBH;0.0;miramax;0;0;0;0;0
1997;MAKEUP;Titanic;tt0120338;Tina Earnshaw, Greg Cannom, Simon Thompson;Twentieth Century Fox, Paramount Pictures, Lightstorm Entertainment;0.0;twentieth century fox;paramount pictures;fox;warner bros;hbo max;1
1997;MUSIC (Original Dramatic Score);Amistad;tt0118607;John Williams;Dreamworks Pictures, Home Box Office (HBO), Amblin Entertainment, Parkes/MacDonald Image Nation;0.0;united international pictures;universal pictures;0;0;0;0
1997;MUSIC (Original Dramatic Score);Good Will Hunting;tt0119217;Danny Elfman;Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership, A Band Apart;0.0;miramax;united international pictures;hbo max;warner home video;0;0
